# 41595:
(1,1,41595)
(1,3,13865)
(1,5,8319)
(1,15,2773)
(1,47,885)
(1,59,705)
(1,141,295)
(1,177,235)
(3,5,2773)
(3,47,295)
(3,59,235)
(5,47,177)
(5,59,141)
(15,47,59)
# 40011:
(1,1,40011)
(1,3,13337)
# 93020:
(1,1,93020)
(1,2,46510)
(1,4,23255)
(1,5,18604)
(1,10,9302)
(1,20,4651)
(2,2,23255)
(2,5,9302)
(2,10,4651)
(4,5,4651)
# 45452:
(1,1,45452)
(1,2,22726)
(1,4,11363)
(1,11,4132)
(1,22,2066)
(1,44,1033)
(2,2,11363)
(2,11,2066)
(2,22,1033)
(4,11,1033)
# 13521:
(1,1,13521)
(1,3,4507)
# 92764:
(1,1,92764)
(1,2,46382)
(1,4,23191)
(1,7,13252)
(1,14,6626)
(1,28,3313)
(2,2,23191)
(2,7,6626)
(2,14,3313)
(4,7,3313)
# 16217:
(1,1,16217)
# 91259:
(1,1,91259)
(1,7,13037)
# 90524:
(1,1,90524)
(1,2,45262)
(1,4,22631)
(1,7,12932)
(1,14,6466)
(1,28,3233)
(1,53,1708)
(1,61,1484)
(1,106,854)
(1,122,742)
(1,212,427)
(1,244,371)
(2,2,22631)
(2,7,6466)
(2,14,3233)
(2,53,854)
(2,61,742)
(2,106,427)
(2,122,371)
(4,7,3233)
(4,53,427)
(4,61,371)
(7,53,244)
(7,61,212)
(7,106,122)
(14,53,122)
(14,61,106)
(28,53,61)
# 50579:
(1,1,50579)
(1,37,1367)
# 51801:
(1,1,51801)
(1,3,17267)
(1,31,1671)
(1,93,557)
(3,31,557)
# 50088:
(1,1,50088)
(1,2,25044)
(1,3,16696)
(1,4,12522)
(1,6,8348)
(1,8,6261)
(1,12,4174)
(1,24,2087)
(2,2,12522)
(2,3,8348)
(2,4,6261)
(2,6,4174)
(2,12,2087)
(3,4,4174)
(3,8,2087)
(4,6,2087)
# 82413:
(1,1,82413)
(1,3,27471)
(1,9,9157)
(3,3,9157)
# 87605:
(1,1,87605)
(1,5,17521)
(1,7,12515)
(1,35,2503)
(5,7,2503)
# 18461:
(1,1,18461)
# 59399:
(1,1,59399)
# 49003:
(1,1,49003)
# 23757:
(1,1,23757)
(1,3,7919)
# 41531:
(1,1,41531)
(1,7,5933)
(1,17,2443)
(1,119,349)
(7,17,349)
# 89663:
(1,1,89663)
(1,7,12809)
# 20358:
(1,1,20358)
(1,2,10179)
(1,3,6786)
(1,6,3393)
(1,9,2262)
(1,13,1566)
(1,18,1131)
(1,26,783)
(1,27,754)
(1,29,702)
(1,39,522)
(1,54,377)
(1,58,351)
(1,78,261)
(1,87,234)
(1,117,174)
(2,3,3393)
(2,9,1131)
(2,13,783)
(2,27,377)
(2,29,351)
(2,39,261)
(2,87,117)
(3,3,2262)
(3,6,1131)
(3,9,754)
(3,13,522)
(3,18,377)
(3,26,261)
(3,29,234)
(3,39,174)
(3,58,117)
(3,78,87)
(6,9,377)
(6,13,261)
(6,29,117)
(6,39,87)
(9,13,174)
(9,26,87)
(9,29,78)
(9,39,58)
(13,18,87)
(13,27,58)
(13,29,54)
(18,29,39)
(26,27,29)
# 56880:
(1,1,56880)
(1,2,28440)
(1,3,18960)
(1,4,14220)
(1,5,11376)
(1,6,9480)
(1,8,7110)
(1,9,6320)
(1,10,5688)
(1,12,4740)
(1,15,3792)
(1,16,3555)
(1,18,3160)
(1,20,2844)
(1,24,2370)
(1,30,1896)
(1,36,1580)
(1,40,1422)
(1,45,1264)
(1,48,1185)
(1,60,948)
(1,72,790)
(1,79,720)
(1,80,711)
(1,90,632)
(1,120,474)
(1,144,395)
(1,158,360)
(1,180,316)
(1,237,240)
(2,2,14220)
(2,3,9480)
(2,4,7110)
(2,5,5688)
(2,6,4740)
(2,8,3555)
(2,9,3160)
(2,10,2844)
(2,12,2370)
(2,15,1896)
(2,18,1580)
(2,20,1422)
(2,24,1185)
(2,30,948)
(2,36,790)
(2,40,711)
(2,45,632)
(2,60,474)
(2,72,395)
(2,79,360)
(2,90,316)
(2,120,237)
(2,158,180)
(3,3,6320)
(3,4,4740)
(3,5,3792)
(3,6,3160)
(3,8,2370)
(3,10,1896)
(3,12,1580)
(3,15,1264)
(3,16,1185)
(3,20,948)
(3,24,790)
(3,30,632)
(3,40,474)
(3,48,395)
(3,60,316)
(3,79,240)
(3,80,237)
(3,120,158)
(4,4,3555)
(4,5,2844)
(4,6,2370)
(4,9,1580)
(4,10,1422)
(4,12,1185)
(4,15,948)
(4,18,790)
(4,20,711)
(4,30,474)
(4,36,395)
(4,45,316)
(4,60,237)
(4,79,180)
(4,90,158)
(5,6,1896)
(5,8,1422)
